Channel,Elevation,Azimuth
1,15.0046,0.0890797
2,13.3169,0.0821785
3,11.8116,1.25915
4,10.5377,1.26755
5,9.85921,0.0960095
6,9.19382,0.0905204
7,8.52353,0.0865992
8,7.84562,0.0840709
9,7.49864,1.28178
10,7.15499,1.28039
11,6.80613,1.28431
12,6.45642,1.28442
13,6.10228,1.28774
14,5.75089,1.2887
15,5.39768,1.29222
16,5.02866,1.28581
17,4.67157,0.08427
18,4.3086,0.0852654
19,3.94397,0.0849027
20,3.58885,0.0864567
21,3.22336,0.0752571
22,2.85234,0.074698
23,2.49407,0.0754314
24,2.12704,0.0774746
25,2.00078,-3.13625
26,1.87976,1.29202
27,1.76284,4.49401
28,1.63502,-3.13608
29,1.51291,1.29522
30,1.39702,4.49668
31,1.26252,-3.13655
32,1.14957,1.29805
33,1.02925,4.49279
34,0.893778,-3.15354
35,0.76839,1.28642
36,0.654848,4.4995
37,0.521966,-3.15518
38,0.396541,1.28754
39,0.281048,4.50045
40,0.148421,-3.15702
41,0.0286593,0.0818664
42,-0.0933059,2.90688
43,-0.222297,-1.54125
44,-0.34342,0.0820484
45,-0.465866,2.9093
46,-0.600596,-1.54335
47,-0.725634,0.085763
48,-0.836479,2.91398
49,-0.974918,-1.54515
50,-1.09504,0.0861051
51,-1.21485,2.91673
52,-1.34525,-1.54577
53,-1.46962,0.0840802
54,-1.59013,2.92022
55,-1.71741,-1.5473
56,-1.84559,0.083594
57,-1.96321,2.92076
58,-2.09973,-1.54503
59,-2.21339,0.0843275
60,-2.33541,2.923
61,-2.46979,-1.54859
62,-2.59467,0.082923
63,-2.71177,2.9281
64,-2.84513,-1.54939
65,-2.96558,1.31232
66,-3.08745,4.54065
67,-3.22799,-3.18173
68,-3.35189,1.30115
69,-3.47388,4.53663
70,-3.60498,-3.18454
71,-3.72128,1.30197
72,-3.84932,4.53725
73,-3.98051,-3.18639
74,-4.09936,1.30242
75,-4.22614,4.53876
76,-4.35456,-3.18601
77,-4.47683,1.30331
78,-4.59918,4.54047
79,-4.73218,-3.18934
80,-4.85154,1.30649
81,-4.973,4.54299
82,-5.10637,-3.19163
83,-5.22992,1.30515
84,-5.3495,4.54812
85,-5.47811,-3.19424
86,-5.60884,1.3061
87,-5.72501,4.55035
88,-5.85385,-3.1974
89,-5.97795,0.0812063
90,-6.35678,0.0814934
91,-6.73532,0.0811217
92,-7.10876,0.0810522
93,-7.49651,0.0706765
94,-7.87452,0.0706185
95,-8.24838,0.070874
96,-8.62412,0.068309
97,-8.99142,1.29515
98,-9.36546,1.297
99,-9.73359,1.29927
100,-10.1111,1.29736
101,-10.4827,1.29734
102,-10.8497,1.29564
103,-11.2206,1.29804
104,-11.601,1.28829
105,-11.972,0.056363
106,-12.338,0.0563351
107,-12.7078,0.0613682
108,-13.075,0.0582783
109,-13.4402,0.0714219
110,-13.8017,0.0721097
111,-14.1638,0.0693151
112,-14.5265,0.0652244
113,-14.8762,1.30735
114,-15.2408,1.30589
115,-15.5901,1.30674
116,-15.955,1.2961
117,-16.308,1.29553
118,-16.6581,1.29529
119,-17.0067,1.29456
120,-17.3584,1.29381
121,-17.7103,0.0732896
122,-18.3972,0.0719311
123,-19.0673,0.0691895
124,-19.7353,0.0617391
125,-20.3859,1.29118
126,-21.6622,1.27373
127,-23.0485,0.0554907
128,-24.7737,0.0603229
